FormID: 0100683B	NVDLC02ZionCanyon	WRLD	 	Zion Canyon
FormID: 0100947C	SorrowCacasian	RACE	 	SorrowsBase
FormID: 0100947D	NVDLC02SorrowCM	NPC_	 	Sorrows Tribal
FormID: 0100947E	SorrowAfricanAmerican	RACE	 	Sorrow African American
FormID: 0100947F	NVDLC02SorrowAM	NPC_	 	Sorrows Tribal
FormID: 01009480	NVDLC02SorrowAAM	NPC_	 	Sorrows Tribal
FormID: 01009481	DeadHorseAfricanAmerican	RACE	 	Sorrow African American
FormID: 01009482	NVDLC02DeadhorseAAM	NPC_	 	Dead Horse Tribal
FormID: 01009483	DeadHorseCaucasian	RACE	 	Deadhorse Caucasian
FormID: 01009484	NVDLC02DeadHorseCM	NPC_	 	Dead Horse Tribal
FormID: 01009485	WhiteLegsAfricanAmerican	RACE	 	WhiteLegs African American
FormID: 01009486	WhitelegsCacasians	RACE	 	WhiteLegs Caucasian
FormID: 01009487	NVDLC02WhiteLegAAM	NPC_	 	White Legs Tribal
FormID: 01009488	NVDLC02WhiteLegCM	NPC_	 	White Legs Tribal
FormID: 010094B7	NVDLC02SacredDaturaPlantLarge	ACTI	 	Sacred Datura
FormID: 010094B8	NVDLC02SacredDaturaPlant	ACTI	 	Sacred Datura
FormID: 010094B9	NVDLC02SorrowShaman	NPC_	 	White Bird
FormID: 010094BA	NVDLC02GhostOfShe	CREA	 	The Ghost of She
FormID: 010094BB	NVDLC02SacredDaturaRoot	ALCH	 	Sacred Datura Root
FormID: 010094C3	NVDLC02MS01	QUST	 	Rite of Passage
FormID: 010094CA	NVDLC02SorrowAAMF	NPC_	 	Sorrows Tribal
FormID: 010094CB	NVDLC02DeadhorseAAMF	NPC_	 	Dead Horse Tribal
FormID: 010094CC	NVDLC02DeadHorseCMF	NPC_	 	Dead Horse Tribal
FormID: 010094CD	NVDLC02WhiteLegAAMF	NPC_	 	White Legs Tribal
FormID: 010094CE	NVDLC02WhiteLegCMF	NPC_	 	White Legs Tribal
FormID: 010094CF	NVDLC02SorrowCMF	NPC_	 	Sorrows Tribal
FormID: 010094D0	NVDLC02FollowsChalk	NPC_	 	Follows-Chalk
FormID: 010094D2	PatriarchsCampgroundMarker	MAPM	 	Patriarchs' Campground
FormID: 010094D3	RangerStationMapMarker	MAPM	 	Zion Ranger Station
FormID: 010094D4	SorrowsForkCampgroundMarker	MAPM	 	Sorrows Fork Campground
FormID: 010094D5	ZionFishingLodgeMarker	MAPM	 	Zion Fishing Lodge
FormID: 010094D6	VirginForkCampgroundMarker	MAPM	 	Virgin Fork Campground
FormID: 010094D7	 	MAPM	 	Ranger Substation Peregrine
FormID: 010094D9	NVDLC02BusMapMarker	MAPM	 	Crashed Scout Bus
FormID: 010094FB	 	MAPM	 	Ranger Substation Eagle
FormID: 010094FC	 	MAPM	 	Ranger Substation Osprey
FormID: 010094FD	GhostOfSheDenMapMarker	MAPM	 	Ghost Den
FormID: 010094FE	CrossroadCavernMapMarker	MAPM	 	Crossroad Cavern
FormID: 010094FF	ThreeMarysCaveMarker	MAPM	 	Three Marys Cavern
FormID: 01009500	CourtForkOverlookMarker	MAPM	 	Court Fork Overlook
FormID: 01009501	EastForkCampgroundMarker	MAPM	 	North Fork Campground
FormID: 01009502	 	MAPM	 	Zion Valley Welcome Booth
FormID: 010095E7	NVDLC02RockSlideTrigger	ACTI	 	RockSlideTrigger
FormID: 01009660	WhiteLegsCampMarker	MAPM	 	White Legs Camp
FormID: 01009665	NVDLC02WakingCloud	NPC_	 	Waking Cloud
FormID: 010096D2	NVDLC02PineCreekTunnelTrigger	ACTI	 	Pine Creek Tunnel Trigger
FormID: 010096D7	NVDLC02WhiteLegsTribalMQ05a1	NPC_	 	White Legs Bone-Breaker
FormID: 010096DC	NVDLC02SorrowMQ05	NPC_	 	Captive Sorrows Tribal
FormID: 0100971D	NVDLC02NarrowsWhiteBird	CELL	 	White Bird's Cave
FormID: 010098E7	WhiteBirdsCaveMapMarker	MAPM	 	White Bird's Cave
FormID: 010098E8	 	MAPM	 	Sweet Flower Cave
FormID: 010098E9	HalfMouseCaveMapMarker	MAPM	 	Half Mouse Cave
FormID: 010098EA	StoneBonesCaveMapMarker	MAPM	 	Stone Bones Cave
FormID: 010098EB	 	MAPM	 	Fallen Rock Cave
FormID: 01009909	NVDLC02RecipeDaturaRootPoison	RCPE	 	Dark Datura
FormID: 0100990A	NVDLC02DarkDatura	ALCH	 	Dark Datura
FormID: 01009946	NVDLC02Campfire01	ACTI	 	Campfire
FormID: 01009947	NVDLC02Campfire02	ACTI	 	Campfire
FormID: 01009948	NVDLC02SacredDaturaPoisonEffect	MGEF	 	Sacred Datura Poison
FormID: 0100994B	NVDLC02SacredDaturaPoison	SPEL	 	Poison
FormID: 0100994C	NVDLC02GhostofShePaw	MISC	 	Ghost of She's Paw
FormID: 0100996A	ModNVDLC0245AutoSubmachinegunCompensator	IMOD	 	.45 Auto SMG Comp.
FormID: 0100996B	ModNVDLC0245AutoSubmachinegunDrums	IMOD	 	.45 Auto SMG Drums
FormID: 0100996C	NVDLC02Weap45AutoSubmachineGun	WEAP	 	.45 Auto Submachine Gun
FormID: 010099AC	NVDLC02SaltUponWoundsTrigger	ACTI	 	Salt Upon Wounds Trigger
FormID: 010099C3	NVDLC02WhiteLegsVictim01	NPC_	 	White Legs Pain-Maker
FormID: 010099C7	NVDLC02DeadHorse3M	NPC_	 	Dead Horse Warrior
FormID: 010099CC	NVDLC02Massacre01Trigger	ACTI	 	Massacre01 Trigger
FormID: 01009B5A	NVDLC02Enc	QUST	 	Encounters Master Script
FormID: 01009B7C	NVDLC02CrTier3GiantMantisMed	CREA	 	Zion Mantis
FormID: 01009B7D	NVDLC02CrTier4GiantMantisLarge	CREA	 	Giant Zion Mantis
FormID: 01009B7E	NVDLC02CrTier2GiantMantisSmall	CREA	 	Zion Mantis Nymph
FormID: 01009B80	NVDLC02EncCodeHolder	ACTI	 	Direct The Show
FormID: 01009B8D	NVDLC02DeskOfficeCornerMetalLOW	CONT	 	Desk
FormID: 01009B8E	NVDLC02DeskOfficeMetalLOW	CONT	 	Desk
FormID: 01009B8F	NVDLC02FilingCabinetBunch01LOW	CONT	 	Filing Cabinets
FormID: 01009DBE	NVDLC02Weap45AutoPistolUnique	WEAP	 	A Light Shining in Darkness
FormID: 01009E68	NVDLC02RangerTerminal	TERM	 	Terminal
FormID: 01009E6A	NVDLC02Ammo45AutoHollowPoint	AMMO	 	.45 Auto, Hollow Point
FormID: 01009E6B	NVDLC02Ammo45AutoP	AMMO	 	.45 Auto, +P
FormID: 01009E6C	NVDLC02Ammo45Super	AMMO	 	.45 Super (Hand Load)
FormID: 01009E6D	AmmoEffect45SuperConditionPenalty	AMEF	 	COND Decay Increase
FormID: 01009E6E	AmmoEffect45SuperDamageBonus	AMEF	 	Damage Bonus
FormID: 01009E6F	AmmoEffect45SuperDTReduction	AMEF	 	Dam. Thresh. Reduction
FormID: 01009E71	NVDLC02Case45Auto	MISC	 	Case, .45 Auto
FormID: 01009E72	NVDLC02BoxCase45Auto	MISC	 	Case Box, 10mm
FormID: 01009E74	NVDLC02Recipe45Auto	RCPE	 	.45 Auto Round
FormID: 01009E75	NVDLC02Recipe45Super	RCPE	 	.45 Super Hand Load
FormID: 01009E76	NVDLC02Recipe45AutoP	RCPE	 	.45 Auto +P Round
FormID: 01009E7B	NVDLC02Jed	NPC_	 	Jed Masterson
FormID: 01009EBD	NVDLC02GrandStaircaseNote	NOTE	 	Grand Staircase Topographical Map
FormID: 01009EBE	NVDLC02ShippingCrate	CONT	 	Happy Trails Shipping Crate
FormID: 01009ECC	NVDLC02Massacre02Trigger	ACTI	 	Massacre02 Trigger
FormID: 01009F3E	NVDLC02CrTier0Raven	CREA	 	Raven
FormID: 01009F3F	NVDLC02CrTier1AntWorkerMed	CREA	 	Giant Worker Ant
FormID: 01009F40	NVDLC02CrTier1BarkScorpionMed	CREA	 	Bark Scorpion
FormID: 01009F41	NVDLC02CrTier1BarkScorpionPackMed	CREA	 	Bark Scorpion Hunter
FormID: 01009F42	NVDLC02CrTier1BigHornerSmall	CREA	 	Bighorner Calf
FormID: 01009F43	NVDLC02CrTier1BloatFlyMed	CREA	 	Bloatfly
FormID: 01009F44	NVDLC02CrTier1CoyoteDenMother	CREA	 	Coyote Den Mother
FormID: 01009F45	NVDLC02CrTier1CoyoteMed	CREA	 	Coyote
FormID: 01009F46	NVDLC02CrTier1CoyoteSmall	CREA	 	Coyote Pup
FormID: 01009F47	NVDLC02CrTier1DogLarge	CREA	 	Large Dog
FormID: 01009F48	NVDLC02CrTier1DogMed	CREA	 	Dog
FormID: 01009F49	NVDLC02CrTier1DogWildLarge	CREA	 	Large Wild Dog
FormID: 01009F4A	NVDLC02CrTier1DogWildMed	CREA	 	Wild Dog
FormID: 01009F4B	NVDLC02CrTier1GeckoSmall	CREA	 	Young Gecko
FormID: 01009F4C	NVDLC02CrTier1GiantRatMed	CREA	 	Giant Rat
FormID: 01009F4D	NVDLC02CrTier1GiantRatSmall	CREA	 	Giant Rat Pup
FormID: 01009F4E	NVDLC02CrTier1MoleRatMed	CREA	 	Mole Rat
FormID: 01009F4F	NVDLC02CrTier1MoleRatSmall	CREA	 	Mole Rat Pup
FormID: 01009F50	NVDLC02CrTier1RadscorpionSmall	CREA	 	Small Radscorpion
FormID: 01009F51	NVDLC02CrTier2AntSoldierMed	CREA	 	Giant Soldier Ant
FormID: 01009F52	NVDLC02CrTier2BigHornerMed	CREA	 	Bighorner
FormID: 01009F53	NVDLC02CrTier2GeckoMed	CREA	 	Gecko
FormID: 01009F54	NVDLC02CrTier3GreenGeckoSmall	CREA	 	Young Green Gecko
FormID: 01009F55	NVDLC02CrTier2MoleRatLarge	CREA	 	Mole Rat
FormID: 01009F56	NVDLC02CrTier2RadscorpionMed	CREA	 	Radscorpion
FormID: 01009F57	NVDLC02CrTier3BigHornerLarge	CREA	 	Bighorner Bull
FormID: 01009F58	NVDLC02CrTier3CazadorSmall	CREA	 	Young Cazador
FormID: 01009F59	NVDLC02CrTier3GiantAntQueen	CREA	 	Giant Ant Queen
FormID: 01009F5A	NVDLC02CrTier3GiantRadscorpionMed	CREA	 	Giant Radscorpion
FormID: 01009F5B	NVDLC02CrTier4YaoGuaiMed	CREA	 	Yao Guai
FormID: 01009F5C	NVDLC02CrTier4CazadorMed	CREA	 	Cazador
FormID: 01009F5D	NVDLC02CrTier4GreenGeckoMed	CREA	 	Green Gecko
FormID: 01009F5E	NVDLC02CrTier2SporeCarrierFD	CREA	 	Spore Carrier Runt
FormID: 01009F5F	NVDLC02CrTier2SporeCarrierFU	CREA	 	Spore Carrier Runt
FormID: 01009F60	NVDLC02CrTier3SporeCarrierFD2	CREA	 	Spore Carrier
FormID: 01009F61	NVDLC02CrTier3SporeCarrierFU2	CREA	 	Spore Carrier
FormID: 01009F62	NVDLC02CrTier4SporeCarrierFD3	CREA	 	Spore Carrier Brute
FormID: 01009F63	NVDLC02CrTier4SporeCarrierFU3	CREA	 	Spore Carrier Brute
FormID: 01009F64	NVDLC02CrTier2SporePlant	CREA	 	Spore Plant
FormID: 01009F65	NVDLC02CrTier3SporePlant	CREA	 	Giant Spore Plant
FormID: 01009F66	NVDLC02HappyTrailsCaravanFaction	FACT	 	Happy Trails Caravan Faction
FormID: 01009FE2	NVDLC02HireTrigger	ACTI	 	Follower Hire Trigger
FormID: 01009FE6	NVDLC02FireTrigger	ACTI	 	Follower Fire Trigger
FormID: 01009FEF	NVDLC02SorrowOutfit	ARMO	 	Sorrows Adorned Outfit
FormID: 01009FF0	NVDLC02SorrowOutfit2	ARMO	 	Sorrows Outfit
FormID: 01009FF1	NVDLC02WakingCloudOutfit	ARMO	 	Waking Cloud's Outfit
FormID: 0100A110	NVDLC02JedRadioTA	TACT	 	Happy Trails Expedition Broadcast
FormID: 0100A2E9	NVDLC02EncListCodeHolder	ACTI	 	Choose The Show
FormID: 0100A362	NVDLC02Massacre03Trigger	ACTI	 	Massacre03 Trigger
FormID: 0100A38B	NVDLC02ARMASaltWound	ARMA	 	NVDLC02ARMASaltWound
FormID: 0100A38D	NVDLC02WeapPowerFistUnique	WEAP	 	Salt-Upon-Wounds' Power Fist
FormID: 0100A3B9	NVDLC02MS02	QUST	 	Bighorners of the Eastern Virgin
FormID: 0100A3BA	NVDLC02ZionEncInt	CELL	 	Zion Encounters Cell
FormID: 0100A3DF	NVDLC02Danieloutfit	ARMO	 	Daniel's Outfit
FormID: 0100A3E0	NVDLC02Danielhat	ARMO	 	Daniel's Hat
FormID: 0100A3E1	NVDLC02CrYaoGuai	CREA	 	Yao Guai
FormID: 0100A3E2	NVDLC02EVBighornerSmall	CREA	 	Mountain Bighorner Calf
FormID: 0100A3E3	NVDLC02EVBighornerMed	CREA	 	Mountain Bighorner
FormID: 0100A3E4	NVDLC02EVBigHornerLarge	CREA	 	Mountain Bighorner Bull
FormID: 0100A3E5	NVDLC02EVBighornerSpecial01	CREA	 	Lost Mountain Bighorner Calf
FormID: 0100A3E6	NVDLC02EVBighornerSpecial02	CREA	 	Mountain Bighorner Mother
FormID: 0100A3F4	NVDLC02SorrowNarrowsCave	NPC_	 	Sorrows Tribal
FormID: 0100A4A2	NVDLC02WhiteLegsFaction	FACT	 	White Legs
FormID: 0100A4A3	NVDLC02WhiteLegsAggressiveFaction	FACT	 	White Legs Enemy of Player
FormID: 0100A4A5	NVDLC023MarysBattleTrigger	ACTI	 	Marys Battle Trigger
FormID: 0100A4A6	NVDLC02WhiteLeg3MAAM	NPC_	 	White Legs Pain-Maker
FormID: 0100A4A7	NVDLC02WhiteLeg3MCM	NPC_	 	White Legs Bone-Breaker
FormID: 0100A4A8	NVDLC02WhiteLeg3MAAMF	NPC_	 	White Legs Light-Bringer
FormID: 0100A4A9	NVDLC02WhiteLeg3MCMF	NPC_	 	White Legs Pain-Maker
FormID: 0100A4AA	NVDLC02WhiteLeg3MSCMF	NPC_	 	White Legs Storm-Drummer
FormID: 0100A4AB	NVDLC02WhiteLeg3SMAAMF	NPC_	 	White Legs Storm-Drummer
FormID: 0100A538	NVDLC02DeadHorseClass	CLAS	 	Dead Horse Tribal
FormID: 0100A539	NVDLC02SorrowClass	CLAS	 	Sorrows Tribal
FormID: 0100A53A	NVDLC02WhiteLegClass	CLAS	 	White Legs Tribal
FormID: 0100A60E	NVDLC02WhiteLegNarrows	NPC_	 	White Legs Tribal
FormID: 0100A639	NVDLC02WhiteLeg3MAAMState01	NPC_	 	White Legs Storm-Drummer
FormID: 0100A63A	NVDLC02WhiteLeg3MCMFState01	NPC_	 	White Legs Light-Bringer
FormID: 0100A63B	NVDLC02WhiteLeg3MCMState01	NPC_	 	White Legs Pain-Maker
FormID: 0100A63C	NVDLC02WhiteLeg3MAAMFState01	NPC_	 	White Legs Bone-Breaker
FormID: 0100A66F	NVDLC02MojaveDoor	DOOR	 	Journey to Northern Passage Cave
FormID: 0100A672	NVDLC02HealingPowderNote	NOTE	 	Sorrows Healing Powder Supply
FormID: 0100A6AC	NVDLC02GrandStaircaseMapNote	NOTE	 	Grand Staircase Map
FormID: 0100A7C3	NVDLC02JedBarkTrigger	ACTI	 	Jed Bark Trigger
FormID: 0100A7C9	NVDLC02AmbushAvoidedTrigger	ACTI	 	Gas Valve
FormID: 0100A7EB	NVDLC02JoshuaGrahamOutfitNPC	ARMO	 	Joshua Graham's Armor (NPC)
FormID: 0100A7EC	NVDLC02JoshuaGrahamOutfit	ARMO	 	Joshua Graham's Armor
FormID: 0100A82C	NVDLC02JoshGrahamGlove	ARMA	 	JoshuaGrahamGloves
FormID: 0100A82D	NVDLC02ArmorJGrahamHeadwrap	ARMO	 	Joshua Graham's Headwrap (NPC)
FormID: 0100A84A	NVDLC02WhiteLegTotem	MISC	 	White Legs War Totem
FormID: 0100A854	NVDLC02WhiteLegsSapperMQ03	NPC_	 	White Legs Sapper
FormID: 0100A866	NVDLC023MarysCaveBox	ACTI	 	3 Marys Cave Code Box
FormID: 0100A925	NVDLC02SorrowsFaction	FACT	 	Sorrows Faction
FormID: 0100A926	NVDLC02DeadHorseFaction	FACT	 	Dead Horse Faction
FormID: 0100A927	NVDLC02ExplosivesCrateMED	CONT	 	Explosives Crate
FormID: 0100A928	NVDLC02ExplosivesCrateLOW	CONT	 	Explosives Crate
FormID: 0100A929	NDLC02MetalBoxMED	CONT	 	Crate
FormID: 0100A92A	NDLC02MetalBoxLOW	CONT	 	Crate
FormID: 0100A92B	NVDLC02ReinforcedBoxMED	CONT	 	Crate
FormID: 0100A92C	NVDLC02ReinforcedBoxLOW	CONT	 	Crate
FormID: 0100A92D	NVDLC02SackMED	CONT	 	Sack
FormID: 0100A92E	NVDLC02SackLOW	CONT	 	Sack
FormID: 0100A92F	NVDLC02CrateLOW	CONT	 	Crate
FormID: 0100A930	NVDLC02CrateMED	CONT	 	Crate
FormID: 0100A931	NVDLC02WoodenCrateContainerMED	CONT	 	Wooden Crate
FormID: 0100A932	NVDLC02WoodenCrateContainerLOW	CONT	 	Wooden Crate
FormID: 0100A933	NVDLC02WhiteLegDEAD	NPC_	 	Dead White Legs Tribal
FormID: 0100A934	NVDLC02DeadHorseNarrowsNightShift	NPC_	 	Dead Horse Tribal
FormID: 0100A935	NVDLC02CrTier2GeckoNarrows	CREA	 	Gecko
FormID: 0100AAD5	NVDLC02WhiteLegCMPool	NPC_	 	White Legs Bone-Breaker
FormID: 0100AAD6	NVDLC02WhiteLegAAMFPool	NPC_	 	White Legs Pain-Maker
FormID: 0100AAD7	NVDLC02WhiteLegCMFPool	NPC_	 	White Legs Storm-Drummer
FormID: 0100AAEF	NVDLC02BrokenCompass	MISC	 	Broken Compass
FormID: 0100AAF6	NVDLC02LodgeFootlocker	CONT	 	Emergency Supply Locker
FormID: 0100AAF9	NVDLC02StoreDesk	CONT	 	Desk
FormID: 0100AAFB	NVDLC02StoreDeskKey	KEYM	 	General Store Desk Key
FormID: 0100AB01	NVDLC02BrokenCompassMsg	MESG	 	Broken Compass
FormID: 0100AB02	NVDLC02BrokenWalkieTalkieMsg	MESG	 	Broken Walkie-Talkie
FormID: 0100AB04	NVDLC02BrokenCompassPartsMsg	MESG	 	Broken Compass
FormID: 0100AB05	NVDLC02BrokenWalkieTalkiePartsMsg	MESG	 	Broken Walkie-Talkie
FormID: 0100AB06	NVDLC02RepairCombatMsg	MESG	 	You're In Combat!
FormID: 0100AB63	NVDLC02CrateHIGH	CONT	 	Crate
FormID: 0100AB64	NVDLC02DeskOfficeCornerMetalMED	CONT	 	Desk
FormID: 0100AB65	NVDLC02DeskOfficeCornerMetalHIGH	CONT	 	Desk
FormID: 0100AB66	NVDLC02DeskOfficeCornerMetalLOCKED	CONT	 	Desk
FormID: 0100AB67	NVDLC02DeskOfficeMetalMED	CONT	 	Desk
FormID: 0100AB68	NVDLC02DeskOfficeMetalHIGH	CONT	 	Desk
FormID: 0100AB69	NVDLC02DeskOfficeMetalLOCKED	CONT	 	Desk
FormID: 0100AB6A	NVDLC02ExplosivesCrateHIGH	CONT	 	Explosives Crate
FormID: 0100AB6B	NVDLC02ExplosivesCrateLOCKED	CONT	 	Explosives Crate
FormID: 0100AB6C	NVDLC02FilingCabinetBunch01MED	CONT	 	Filing Cabinets
FormID: 0100AB6D	NVDLC02FilingCabinetBunch01HIGH	CONT	 	Filing Cabinets
FormID: 0100AB6E	NVDLC02FilingCabinetBunch01LOCKED	CONT	 	Filing Cabinets
FormID: 0100AB6F	NVDLC02ReinforcedBoxHIGH	CONT	 	Crate
FormID: 0100AB70	NVDLC02ReinforcedBoxLOCKED	CONT	 	Crate
FormID: 0100AB71	NVDLC02SackHIGH	CONT	 	Sack
FormID: 0100AB72	NVDLC02WoodenCrateContainerHIGH	CONT	 	Wooden Crate
FormID: 0100AB73	NVDLC02HollowRockContainerLOW	CONT	 	Hollowed-Out Rock
FormID: 0100AB74	NVDLC02HollowRockContainerMED	CONT	 	Hollowed-Out Rock
FormID: 0100AB75	NVDLC02HollowRockContainerHIGH	CONT	 	Hollowed-Out Rock
FormID: 0100AB76	NVDLC02AntRefusePile04aLOW	CONT	 	Ant Refuse Pile
FormID: 0100AB77	NVDLC02AntRefusePile04aMED	CONT	 	Ant Refuse Pile
FormID: 0100AB78	NVDLC02AntRefusePile04aHIGH	CONT	 	Ant Refuse Pile
FormID: 0100AB79	NVDLC02FootlockerLOW	CONT	 	Footlocker
FormID: 0100AB7A	NVDLC02FootlockerMED	CONT	 	Footlocker
FormID: 0100AB7B	NVDLC02FootlockerHIGH	CONT	 	Footlocker
FormID: 0100AB7C	NVDLC02MetalBox01LOW	CONT	 	Metal Box
FormID: 0100AB7D	NVDLC02MetalBox01MED	CONT	 	Metal Box
FormID: 0100AB7E	NVDLC02MetalBox01HIGH	CONT	 	Metal Box
FormID: 0100AB7F	NVDLC02LootFirstAidKitLOW	CONT	 	First Aid Box
FormID: 0100AB80	NVDLC02LootFirstAidKitMED	CONT	 	First Aid Box
FormID: 0100AB81	NVDLC02LootFirstAidKitHIGH	CONT	 	First Aid Box
FormID: 0100AB82	NVDLC02Grave01ContLOW	CONT	 	Grave
FormID: 0100AB83	NVDLC02Grave01ContMED	CONT	 	Grave
FormID: 0100AB84	NVDLC02Grave01ContHIGH	CONT	 	Grave
FormID: 0100AB85	NVDLC02LootAmmoBoxLOW	CONT	 	Ammunition Box
FormID: 0100AB86	NVDLC02LootAmmoBoxMED	CONT	 	Ammunition Box
FormID: 0100AB87	NVDLC02LootAmmoBoxHIGH	CONT	 	Ammunition Box
FormID: 0100AB88	NVDLC02ToolboxLOW	CONT	 	Toolbox
FormID: 0100AB89	NVDLC02ToolboxMED	CONT	 	Toolbox
FormID: 0100AB8A	NVDLC02ToolboxHIGH	CONT	 	Toolbox
FormID: 0100AB8B	NVDLC02DuffleBagLOW	CONT	 	Duffle Bag
FormID: 0100AB8C	NVDLC02DuffleBagMED	CONT	 	Duffle Bag
FormID: 0100AB8D	NVDLC02DuffleBagHIGH	CONT	 	Duffle Bag
FormID: 0100AB8E	NVDLC02LootFilingCabinetLOW	CONT	 	Filing Cabinet
FormID: 0100AB8F	NVDLC02LootFilingCabinetMED	CONT	 	Filing Cabinet
FormID: 0100AB90	NVDLC02LootFilingCabinetHIGH	CONT	 	Filing Cabinet
FormID: 0100AB91	NVDLC02HollowLogLOW	CONT	 	Hollow Log
FormID: 0100AB92	NVDLC02HollowLogMED	CONT	 	Hollow Log
FormID: 0100AB93	NVDLC02HollowLogHIGH	CONT	 	Hollow Log
FormID: 0100AB94	NVDLC02AntRefusePile02aLOW	CONT	 	Ant Refuse Pile
FormID: 0100AB95	NVDLC02AntRefusePile02aMED	CONT	 	Ant Refuse Pile
FormID: 0100AB96	NVDLC02AntRefusePile02aHIGH	CONT	 	Ant Refuse Pile
FormID: 0100AB97	NVDLC02SuitcaseLOW	CONT	 	Suitcase
FormID: 0100AB98	NVDLC02SuitcaseMED	CONT	 	Suitcase
FormID: 0100AB99	NVDLC02SuitcaseHIGH	CONT	 	Suitcase
FormID: 00166B58	NVWoodenCrateContainer	CONT	 	Wooden Crate
FormID: 00166C06	musCtrlGnrcIndustrial	ALOC	 	musCtrlGnrcIndustrial
FormID: 0100AD9A	NVDLC02SuitcaseLOCKED	CONT	 	Suitcase
FormID: 0100AD9B	NVDLC02ToolboxLOCKED	CONT	 	Toolbox
FormID: 0100AD9C	NVDLC02MetalBox01LOCKED	CONT	 	Metal Box
FormID: 0100AD9D	NVDLC02LootFirstAidKitLOCKED	CONT	 	First Aid Box
FormID: 0100AD9E	NVDLC02LootAmmoBoxLOCKED	CONT	 	Ammunition Box
FormID: 0100AD9F	NVDLC02FootlockerLOCKED	CONT	 	Footlocker
FormID: 0100AE29	NVDLC02Whiteleg01	ARMO	 	White Legs Hide Armor
FormID: 0100AE2A	NVDLC02Whiteleg02	ARMO	 	White Legs Outfit
FormID: 0100AE9A	NVDLC02MQ03MineDetector	ACTI	 	Mine Detector
FormID: 0100AE9C	NVDLC02MQ06	QUST	 	Chaos in Zion
