0x100dc37|0|0x424a|0|0x100974f|0x1003e40|0xc9
0x100a909|0|0x10083d7|0|0x100d0f0|0x10086f1|0x35f
0x100a908|0|0x10083d7|0|0x100d0f0|0x10086f0|0x35f
0x100a907|0|0x10083d7|0|0x100d0f0|0x10086ee|0x35f
0x100a906|0|0x10083d7|0|0x100d0f0|0x10086ef|0x35f
0x100a873|0|0x10083d7|0|0x0|0x0|0x0
0x100a7db|0|0x10083d7|0|0x100d0f0|0x10086f0|0x1db
0x100a7da|0|0x10083d7|0|0x0|0x10086f1|0x1de
0x100a7d9|0|0x10083d7|0|0x0|0x10086ef|0xda
0x100a7d8|0|0x10083d7|0|0x0|0x10086ee|0xda
0x100a691|0|0x10083d7|0|0x0|0x10086ee|0xda
0x1009a00|0|0x10083d7|0|0x0|0x10086f1|0x1de
0x1009815|0|0x10083d7|0|0x100d0f0|0x10086ee|0x2df
0x10097a8|0|0x10083d7|0|0x100d0f0|0x10086f1|0x2df
0x10097a5|0|0x10083d7|0|0x100d0f0|0x10086ee|0x2df
0x100949d|0|0x10083d7|0|0x0|0x10086ef|0xda
0x100949c|0|0x10083d7|0|0x0|0x10086ee|0xda
0x100949b|0|0x10083d7|0|0x100d0f0|0x10086f0|0x1db
0x100936f|0|0x10083d7|0|0x100d0f0|0x10086ef|0x3df
0x100936d|0|0x10083d7|0|0x100d0f0|0x10086f0|0x3df
0x100936c|0|0x10083d7|0|0x100d0f0|0x10086ee|0x3df
0x10092eb|0|0x10083d7|0|0x0|0x10086ed|0x25c
0x100923e|0|0x987df|1|0x0|0x0|0x0
0x100910c|0|0x10083d7|0|0x100d0f0|0x10086f1|0x35f
0x100910b|0|0x10083d7|0|0x100d0f0|0x10086ef|0x35f
0x100910a|0|0x10083d7|0|0x100d0f0|0x10086ee|0x35f
0x1009109|0|0x10083d7|0|0x100d0f0|0x10086f0|0x35f
0x10090b0|0|0x10083d7|0|0x100d0f0|0x10086ef|0x2dd
0x10090aa|0|0x10083d7|0|0x100d0f0|0x10086ee|0x2dd
0x10090a3|0|0x10083d7|0|0x100d0f0|0x10086f0|0x2dd
0x1009078|0|0x10083d7|0|0x100d0f0|0x10086ee|0x2df
0x10089f0|0|0x10083d7|0|0x100d0f0|0x10086ee|0x3df
0x10089ef|0|0x10083d7|0|0x100d0f0|0x10086ee|0x3df
0x10089ee|0|0x10083d7|0|0x100d0f0|0x10086ef|0x3df
0x10089ed|0|0x10083d7|0|0x100d0f0|0x10086f0|0x3df
0x10089ec|0|0x10083d7|0|0x100d0f0|0x10086ef|0x3df
0x10089eb|0|0x10083d7|0|0x100d0f0|0x10086f0|0x3df
0x10089ea|0|0x10083d7|0|0x100d0f0|0x10086ef|0x2df
0x10089e9|0|0x10083d7|0|0x100d0f0|0x10086ee|0x2df
0x10089e8|0|0x10083d7|0|0x100d0f0|0x10086f0|0x2df
0x10089e7|0|0x10083d7|0|0x100d0f0|0x10086ef|0x2df
0x100899d|0|0x10083d7|0|0x100d0f0|0x10086ef|0x3df
0x100899c|0|0x10083d7|0|0x100d0f0|0x10086ee|0x3df
0x1008805|0|0x10083d7|0|0x100d0f0|0x10086ee|0x2df
0x1008804|0|0x10083d7|0|0x100d0f0|0x10086f0|0x3df
0x1008803|0|0x10083d7|0|0x100d0f0|0x10086ef|0x3df
0x1008802|0|0x10083d7|0|0x100d0f0|0x10086f1|0x3df
0x10086f5|0|0x10083d7|0|0x0|0x10086ed|0x54
0x10086f4|0|0x10083d7|0|0x0|0x10086ed|0x254
0x10086f3|0|0x10083d7|0|0x0|0x10086f1|0x254
0x10086f2|0|0x10083d7|0|0x0|0x10086ed|0x254
0x10086f1|0|0x10083d7|0|0x100d0f0|0x10086ed|0x27c
0x10086f0|0|0x10083d7|0|0x100d0f0|0x10086ed|0x27c
0x10086ef|0|0x10083d7|0|0x100d0f0|0x10086ed|0x27c
0x10086ee|0|0x10083d7|0|0x100d0f0|0x10086ed|0x27c
0x10086ed|0|0x10083d7|0|0x100d0f0|0x0|0x0
0x1003e40|0|0x424a|0|0x100974f|0x0|0x0
